name,dice_class_1,hd95_class_1,assd_class_1,iou_class_1,precision_class_1,recall_class_1,dice_class_2,hd95_class_2,assd_class_2,iou_class_2,precision_class_2,recall_class_2,dice_class_3,hd95_class_3,assd_class_3,iou_class_3,precision_class_3,recall_class_3,dice_avg,hd95_avg,assd_avg,iou_avg,precision_avg,recall_avg
CAD_251.nii.gz,0.5619324445724487,13.379088401794434,2.5817553997039795,0.39075523614883423,0.5738130807876587,0.5505338311195374,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.1873108148574829,4.459696133931478,0.8605851332346598,0.13025174538294473,,
CAD_252.nii.gz,0.6470202803611755,2.0,0.6078070998191833,0.47821879386901855,0.8989990949630737,0.5053708553314209,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.2156734267870585,0.6666666666666666,0.20260236660639444,0.1594062646230062,,
CAD_255.nii.gz,0.5114192366600037,23.874671936035156,6.207852363586426,0.34356164932250977,0.38799506425857544,0.75,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.17047307888666788,7.958223978678386,2.069284121195475,0.11452054977416992,,
CAD_258.nii.gz,0.661060631275177,2.8284270763397217,0.761766791343689,0.49371960759162903,0.8766186833381653,0.5305900573730469,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.22035354375839233,0.9428090254465739,0.2539222637812297,0.164573202530543,,
CAD_262.nii.gz,0.7772079706192017,29.048431396484375,5.864731311798096,0.6356011033058167,0.9619181752204895,0.6520076394081116,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.2590693235397339,9.682810465494791,1.954910437266032,0.21186703443527222,,
CAD_265.nii.gz,0.41982507705688477,3.0,0.23131513595581055,0.2656826674938202,0.9314359426498413,0.2709823250770569,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.13994169235229492,1.0,0.07710504531860352,0.08856088916460673,,
CAD_269.nii.gz,0.5269313454627991,2.4494898319244385,0.5051582455635071,0.35770997405052185,0.8833849430084229,0.3754386007785797,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.17564378182093301,0.8164966106414795,0.16838608185450235,0.11923665801684062,,
CAD_283.nii.gz,0.572311520576477,6.324555397033691,1.2320420742034912,0.4008657932281494,0.925629734992981,0.41420647501945496,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.19077050685882568,2.108185132344564,0.41068069140116376,0.1336219310760498,,
CAD_284.nii.gz,0.5049833655357361,7.549834251403809,1.9937059879302979,0.3377777636051178,0.4012066423892975,0.6811779737472534,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.16832778851191202,2.516611417134603,0.6645686626434326,0.1125925878683726,,
CAD_286.nii.gz,0.8656871914863586,2.0,0.7386677265167236,0.7631820440292358,0.927352249622345,0.8117117285728455,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.28856239716211957,0.6666666666666666,0.24622257550557455,0.25439401467641193,,
CAD_288.nii.gz,0.42631399631500244,13.638181686401367,0.6891977190971375,0.27090156078338623,0.956086277961731,0.2743147611618042,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.14210466543833414,4.546060562133789,0.22973257303237915,0.09030052026112874,,
CAD_289.nii.gz,0.543289065361023,3.1622776985168457,0.6527937650680542,0.37295597791671753,0.9510825872421265,0.38025006651878357,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.18109635512034097,1.054092566172282,0.2175979216893514,0.12431865930557251,,
